State,program,ID,.,var,;,:,INTEGER_TYPE,BOOLEAN_TYPE,begin,end,:=,read,write,if,then,else,while,do,+,-,*,INTEGER_LIT,TRUE,FALSE,>,>=,=,<=,<,$,PROGRAM,BLOCK,BLOCK`,VAR_DEC_SEC,VAR_DEC_SEC`,VAR_DEC,VAR_DEC`,TYPE,COMPOUND_STATEMENT,STMT`,STMT,SIMP_STMT,ASSIGN_STMT,READ_STMT,WRITE_STMT,STR_STMT,IF_STMT,WHILE_STMT,EXPR,ARITH_EXPR,TERM,FACTOR,LIT,BOOLEAN_LIT,BOOL_EXPR
70,,,,,r28,,,,,r28,,,,,,s80 / r28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,,,r45,,,,,r45,,,,,r45,r45,,r45,s65,s66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,,,r46,,,,,r46,,,,,r46,r46,,r46,s65,s66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,,,r47,,,,,r47,,,,,r47,r47,,r47,s65,s66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,,,,r48,,,,,r48,,,,,r48,r48,,r48,s65,s66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,,,r49,,,,,r49,,,,,r49,r49,,r49,s65,s66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,,,,r33,,,,,r33,,,,,r33,r33,,r33,r33,r33,s67,,,,r33,r33,r33,r33,r33,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,,,r34,,,,,r34,,,,,r34,r34,,r34,r34,r34,s67,,,,r34,r34,r34,r34,r34,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,,,,r36,,,,,r36,,,,,r36,r36,,r36,r36,r36,r36,,,,r36,r36,r36,r36,r36,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,,,r30,,,,,r30,,,,,,r30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,s24,,,,,,,s6,,,s25,s26,s27,,,s28,,,,,,,,,,,,,,,,,,,,,,23,,81,16,18,19,20,17,21,22,,,,,,,
81,,,,,r29,,,,,r29,,,,,,r29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
